觀測站ID,觀測站,觀測站英文,日期,時間,年份,月份,日,時,雨量(mm),原始值
466881,新北,New Taipei,2024-02-25,01:00:00,2024,2,25,1,0.1,T
466881,新北,New Taipei,2024-02-25,02:00:00,2024,2,25,2,0.1,T
466881,新北,New Taipei,2024-02-25,03:00:00,2024,2,25,3,0.1,T
466881,新北,New Taipei,2024-02-25,06:00:00,2024,2,25,6,0.1,T
466881,新北,New Taipei,2024-02-25,07:00:00,2024,2,25,7,0.1,T
466881,新北,New Taipei,2024-02-25,13:00:00,2024,2,25,13,0.1,T
466881,新北,New Taipei,2024-02-25,14:00:00,2024,2,25,14,0.1,T
466881,新北,New Taipei,2024-02-25,15:00:00,2024,2,25,15,0.1,T
466881,新北,New Taipei,2024-02-25,16:00:00,2024,2,25,16,0.1,T
466881,新北,New Taipei,2024-02-26,03:00:00,2024,2,26,3,0.1,T
466881,新北,New Taipei,2024-02-26,04:00:00,2024,2,26,4,0.1,T
466881,新北,New Taipei,2024-02-26,06:00:00,2024,2,26,6,0.1,T
466881,新北,New Taipei,2024-02-26,15:00:00,2024,2,26,15,0.1,T
466881,新北,New Taipei,2024-02-26,16:00:00,2024,2,26,16,0.1,T
466881,新北,New Taipei,2024-02-26,17:00:00,2024,2,26,17,0.1,T
466881,新北,New Taipei,2024-02-26,18:00:00,2024,2,26,18,0.1,T
466881,新北,New Taipei,2024-02-26,19:00:00,2024,2,26,19,0.1,T
466881,新北,New Taipei,2024-02-26,21:00:00,2024,2,26,21,0.1,T
466881,新北,New Taipei,2024-02-26,22:00:00,2024,2,26,22,0.1,T
466881,新北,New Taipei,2024-02-26,23:00:00,2024,2,26,23,0.1,T
466881,新北,New Taipei,2024-02-27,00:00:00,2024,2,27,0,0.1,T
466881,新北,New Taipei,2024-02-27,01:00:00,2024,2,27,1,0.5,0.5
466881,新北,New Taipei,2024-02-27,02:00:00,2024,2,27,2,0.1,T
466881,新北,New Taipei,2024-02-27,03:00:00,2024,2,27,3,0.5,0.5
466881,新北,New Taipei,2024-02-27,04:00:00,2024,2,27,4,0.5,0.5
466881,新北,New Taipei,2024-02-27,05:00:00,2024,2,27,5,0.5,0.5
466881,新北,New Taipei,2024-02-27,06:00:00,2024,2,27,6,0.1,T
466881,新北,New Taipei,2024-02-27,07:00:00,2024,2,27,7,0.5,0.5
466881,新北,New Taipei,2024-02-27,08:00:00,2024,2,27,8,0.5,0.5
466881,新北,New Taipei,2024-02-27,09:00:00,2024,2,27,9,1.0,1.0
466881,新北,New Taipei,2024-02-27,10:00:00,2024,2,27,10,0.5,0.5
466881,新北,New Taipei,2024-02-27,11:00:00,2024,2,27,11,0.5,0.5
466881,新北,New Taipei,2024-02-27,12:00:00,2024,2,27,12,1.0,1.0
466881,新北,New Taipei,2024-02-27,13:00:00,2024,2,27,13,0.5,0.5
466881,新北,New Taipei,2024-02-27,15:00:00,2024,2,27,15,0.1,T
466881,新北,New Taipei,2024-02-27,16:00:00,2024,2,27,16,0.1,T
466881,新北,New Taipei,2024-02-27,18:00:00,2024,2,27,18,0.1,T
466881,新北,New Taipei,2024-02-27,19:00:00,2024,2,27,19,0.1,T
466881,新北,New Taipei,2024-02-28,19:00:00,2024,2,28,19,0.1,T
466881,新北,New Taipei,2024-02-29,03:00:00,2024,2,29,3,0.1,T
466881,新北,New Taipei,2024-02-29,17:00:00,2024,2,29,17,0.1,T
466881,新北,New Taipei,2024-02-29,18:00:00,2024,2,29,18,0.1,T
466881,新北,New Taipei,2024-02-29,19:00:00,2024,2,29,19,0.1,T
466881,新北,New Taipei,2024-02-29,20:00:00,2024,2,29,20,0.1,T
466881,新北,New Taipei,2024-02-29,21:00:00,2024,2,29,21,0.1,T
466881,新北,New Taipei,2024-02-29,22:00:00,2024,2,29,22,0.1,T
466881,新北,New Taipei,2024-02-29,23:00:00,2024,2,29,23,0.5,0.5
466881,新北,New Taipei,2024-03-01,01:00:00,2024,3,1,1,0.1,T
466881,新北,New Taipei,2024-03-01,02:00:00,2024,3,1,2,0.1,T
466881,新北,New Taipei,2024-03-01,03:00:00,2024,3,1,3,0.1,T
466881,新北,New Taipei,2024-03-01,04:00:00,2024,3,1,4,0.1,T
466881,新北,New Taipei,2024-03-01,05:00:00,2024,3,1,5,0.1,T
466881,新北,New Taipei,2024-03-01,06:00:00,2024,3,1,6,0.1,T
466881,新北,New Taipei,2024-03-01,07:00:00,2024,3,1,7,0.1,T
466881,新北,New Taipei,2024-03-01,08:00:00,2024,3,1,8,0.1,T
466881,新北,New Taipei,2024-03-01,09:00:00,2024,3,1,9,1.0,1.0
466881,新北,New Taipei,2024-03-01,11:00:00,2024,3,1,11,0.1,T
466881,新北,New Taipei,2024-03-01,12:00:00,2024,3,1,12,0.1,T
466881,新北,New Taipei,2024-03-01,13:00:00,2024,3,1,13,0.5,0.5
466881,新北,New Taipei,2024-03-01,14:00:00,2024,3,1,14,0.1,T
466881,新北,New Taipei,2024-03-01,15:00:00,2024,3,1,15,0.5,0.5
466881,新北,New Taipei,2024-03-01,16:00:00,2024,3,1,16,1.0,1.0
466881,新北,New Taipei,2024-03-01,17:00:00,2024,3,1,17,0.5,0.5
466881,新北,New Taipei,2024-03-01,18:00:00,2024,3,1,18,0.5,0.5
466881,新北,New Taipei,2024-03-01,19:00:00,2024,3,1,19,3.5,3.5
466881,新北,New Taipei,2024-03-01,20:00:00,2024,3,1,20,3.0,3.0
466881,新北,New Taipei,2024-03-01,21:00:00,2024,3,1,21,0.5,0.5
466881,新北,New Taipei,2024-03-01,22:00:00,2024,3,1,22,1.5,1.5
466881,新北,New Taipei,2024-03-01,23:00:00,2024,3,1,23,2.0,2.0
466881,新北,New Taipei,2024-03-02,00:00:00,2024,3,2,0,1.5,1.5
466881,新北,New Taipei,2024-03-02,01:00:00,2024,3,2,1,0.5,0.5
466881,新北,New Taipei,2024-03-02,02:00:00,2024,3,2,2,0.1,T
466881,新北,New Taipei,2024-03-02,03:00:00,2024,3,2,3,1.5,1.5
466881,新北,New Taipei,2024-03-02,04:00:00,2024,3,2,4,1.5,1.5
466881,新北,New Taipei,2024-03-02,05:00:00,2024,3,2,5,2.0,2.0
466881,新北,New Taipei,2024-03-02,06:00:00,2024,3,2,6,0.5,0.5
466881,新北,New Taipei,2024-03-02,08:00:00,2024,3,2,8,0.1,T
466881,新北,New Taipei,2024-03-02,09:00:00,2024,3,2,9,0.1,T
466881,新北,New Taipei,2024-03-02,10:00:00,2024,3,2,10,0.1,T
466881,新北,New Taipei,2024-03-02,11:00:00,2024,3,2,11,0.5,0.5
466881,新北,New Taipei,2024-03-02,12:00:00,2024,3,2,12,0.5,0.5
466881,新北,New Taipei,2024-03-02,13:00:00,2024,3,2,13,0.1,T
466881,新北,New Taipei,2024-03-02,14:00:00,2024,3,2,14,0.5,0.5
466881,新北,New Taipei,2024-03-02,15:00:00,2024,3,2,15,0.5,0.5
466881,新北,New Taipei,2024-03-02,16:00:00,2024,3,2,16,0.1,T
466881,新北,New Taipei,2024-03-02,17:00:00,2024,3,2,17,1.0,1.0
466881,新北,New Taipei,2024-03-02,18:00:00,2024,3,2,18,0.1,T
